Frequency (Hz),Omega_GW
1e+21,2.9728933851708277e-55
1.011637979766207e+21,3.1423545928531663e-55
1.0234114021054528e+21,3.321376255769697e-55
1.0353218432956616e+21,3.510490679777993e-55
1.0473708979594486e+21,3.7102593054580216e-55
1.0595601792776148e+21,3.921274266929492e-55
1.0718913192051265e+21,4.1441600315181856e-55
1.0843659686896087e+21,4.379575124281691e-55
1.0969857978923819e+21,4.628213941591007e-55
1.1097524964120699e+21,4.890808658157697e-55
1.1226677735108113e+21,5.1681312320977505e-55
1.1357333583431028e+21,5.4609955128325205e-55
1.1489510001873062e+21,5.770259456845171e-55
1.1623224686798495e+21,6.096827456537209e-55
1.1758495540521533e+21,6.441652787665118e-55
1.189534067370316e+21,6.805740181081418e-55
1.2033778407775855e+21,7.190148524758058e-55
1.2173827277396572e+21,7.595993702333669e-55
1.2315506032928212e+21,8.024451574698632e-55
1.245883364295003e+21,8.476761111415954e-55
1.2603829296797327e+21,8.954227679068628e-55
1.2750512407130181e+21,9.458226493926418e-55
1.2898902612533133e+21,9.990206246646181e-55
1.304901978014407e+21,1.0551692907033492e-54
1.3200884008314221e+21,1.114429371724135e-54
1.3354515629299028e+21,1.1769701382122641e-54
1.3509935211980307e+21,1.2429698465813619e-54
1.3667163564620102e+21,1.312616200399629e-54
1.3826221737646592e+21,1.3861068341669125e-54
1.3987131026472415e+21,1.4636498206648943e-54
1.4149912974345788e+21,1.5454642029432288e-54
1.4314589375234813e+21,1.6317805520461043e-54
1.448118227674536e+21,1.7228415516265874e-54
1.464971398307288e+21,1.8189026106400613e-54
1.48202070579886e+21,1.9202325053532867e-54
1.499268432786047e+21,2.027114051951829e-54
1.516716888470924e+21,2.139844811076013e-54
1.5343684089300132e+21,2.2587378256640673e-54
1.552225357427048e+21,2.3841223935305792e-54
1.5702901247293774e+21,2.5163448761589815e-54
1.5885651294280527e+21,2.6557695452382423e-54
1.6070528182616384e+21,2.802779468526349e-54
1.6257556664437933e+21,2.9577774366764513e-54
1.6446761779946628e+21,3.121186932715465e-54
1.6638168860761273e+21,3.293453145919746e-54
1.683180353330955e+21,3.4750440318876906e-54
1.7027691722258978e+21,3.666451420664818e-54
1.722585965398784e+21,3.8681921748332064e-54
1.742633386009647e+21,4.0808093995333795e-54
1.7629141180959443e+21,4.3048737064432606e-54
1.7834308769319058e+21,4.540984533795194e-54
1.804186409392068e+21,4.7897715245681386e-54
1.8251834943190388e+21,5.0518959650478656e-54
1.846424942895539e+21,5.328052286002816e-54
1.867913599020777e+21,5.618969628777616e-54
1.8896523396912039e+21,5.925413478658888e-54
1.9116440753856958e+21,6.248187367919617e-54
1.933891750455224e+21,6.588134650997998e-54
1.9563983435170568e+21,6.946140354314212e-54
1.9791668678535492e+21,7.323133103273818e-54
2.0022003718155928e+21,7.720087129049041e-54
2.0255019392306748e+21,8.138024357766146e-54
2.0490746898158544e+21,8.578016584768556e-54
2.0729217795953784e+21,9.04118773664654e-54
2.0970464013232392e+21,9.528716223760471e-54
2.1214517849106363e+21,1.0041837386000092e-53
2.1461411978584103e+21,1.0581846034539167e-53
2.1711179456945099e+21,1.1150099092353581e-53
2.1963853724165514e+21,1.1748018336272411e-53
2.2219468609395284e+21,1.2377093243324975e-53
2.24780583354873e+21,1.303888394413191e-53
2.2739657523579322e+21,1.3735024286063558e-53
2.3004301197729215e+21,1.4467225008854078e-53
2.3272024789604122e+21,1.5237277035313127e-53
2.3542864143224202e+21,1.6047054879718345e-53
2.3816855519761604e+21,1.689852017639997e-53
2.409403560239527e+21,1.7793725330942195e-53
2.437444150122222e+21,1.8734817296323935e-53
2.4658110758226037e+21,1.9724041476202952e-53
2.4945081352303165e+21,2.0763745757409864e-53
2.523539170434766e+21,2.1856384673562467e-53
2.5529080682395164e+21,2.300452370153355e-53
2.582618760682675e+21,2.4210843692305704e-53
2.6126752255633266e+21,2.5478145437522894e-53
2.643081486974103e+21,2.6809354372800476e-53
2.673841615839944e+21,2.8207525418578453e-53
2.7049597304631313e+21,2.967584795899839e-53
2.736439997074666e+21,3.1217650958948845e-53
2.768286630392061e+21,3.2836408219055747e-53
2.8005038941836254e+21,3.4535743767992347e-53
2.8330961018393183e+21,3.6319437391043457e-53
2.8660676169482444e+21,3.8191430293382254e-53
2.8994228538828694e+21,4.015583089599886e-53
2.9331662783900366e+21,4.221692076166036e-53
2.9673024081888606e+21,4.437916064767471e-53
3.00183581357558e+21,4.664719668157999e-53
3.036771118035448e+21,4.902586665517612e-53
3.0721129988617467e+21,5.152020643156421e-53
3.107866187782001e+21,5.413545645904907e-53
3.1440354715914873e+21,5.687706838489762e-53
3.180625692794106e+21,5.9750711761021e-53
3.2176417502507486e+21,6.2762280832669655e-53
3.2550885998350696e+21,6.5917901400164615e-53
3.2929712550971614e+21,6.922393774262491e-53
3.3312947879346837e+21,7.26869995913935e-53
3.3700643292719386e+21,7.6313949139690775e-53
3.4092850697468217e+21,8.0111908073658865e-53
3.448962260405767e+21,8.408826460858035e-53
3.4891012134067807e+21,8.825068051258443e-53
3.529707302730657e+21,9.260709809860668e-53
3.57078596490047e+21,9.716574716374655e-53
3.6123426997094376e+21,1.0193515185346277e-52
3.654383070957262e+21,1.0692413742626719e-52
3.6969127071950323e+21,1.1214183689271226e-52
3.739937302478802e+21,1.1759769750052863e-52
3.7834626171319327e+21,1.2330148703574488e-52
3.827494478516315e+21,1.2926329990751987e-52
3.872038781812557e+21,1.3549356298223901e-52
3.9171014908092607e+21,1.4200304113017004e-52
3.962688638701478e+21,1.4880284244564204e-52
4.008806328898465e+21,1.5590442309930999e-52
4.0554607358408277e+21,1.6331959177859688e-52
4.10265810582719e+21,1.7106051366987363e-52
4.1504047578504726e+21,1.7913971393334194e-52
4.198707084443906e+21,1.8757008061894177e-52
4.247571552536894e+21,1.963648669689178e-52
4.2970047043208353e+21,2.055376930499421e-52
4.3470131581250175e+21,2.151025466549427e-52
4.3976036093027125e+21,2.250737834120025e-52
4.4487828311275764e+21,2.3546612603491054e-52
4.500557675700488e+21,2.4629466264717015e-52
4.552935074866938e+21,2.5757484410849818e-52
4.6059220411450943e+21,2.6932248027012714e-52
4.659525668664668e+21,2.8155373508253716e-52
4.7137531341167096e+21,2.9428512047663636e-52
4.768611697714455e+21,3.075334889368762e-52
4.824108704165353e+21,3.213160246823823e-52
4.880251583654414e+21,3.356502333698846e-52
4.937047852838984e+21,3.505539302301092e-52
4.99450511585512e+21,3.660452265473455e-52
5.052631065335701e+21,3.8214251439017575e-52
5.111433483440186e+21,3.988644494997749e-52
5.170920242896777e+21,4.162299322412151e-52
5.23109930805628e+21,4.3425808652187344e-52
